Tempo,Energia,Accettazioni/step
0,-1760.1314653616132,0.0
1,-1760.1314653616132,0.0
2,-1769.337738711663,0.5
3,-1798.3371521803047,0.6666666666666666
4,-1824.6845492625498,0.75
5,-1844.8858408610963,0.8
6,-1880.021468081038,0.8333333333333334
7,-1919.8166911360697,0.8571428571428571
8,-1949.676562148162,0.875
9,-1949.676562148162,0.7777777777777778
10,-1960.620875854572,0.8
11,-1972.864244482541,0.8181818181818182
12,-1972.864244482541,0.75
13,-1999.9289273083416,0.7692307692307693
14,-1999.9289273083416,0.7142857142857143
15,-2009.4113551520356,0.7333333333333333
16,-2017.967799134483,0.75
17,-2034.2964712390665,0.7647058823529411
18,-2062.1448730921456,0.7777777777777778
19,-2062.1448730921456,0.7368421052631579
20,-2062.1448730921456,0.7
21,-2085.651608959206,0.7142857142857143
22,-2132.8175421041005,0.7272727272727273
23,-2181.197229696423,0.7391304347826086
24,-2182.083280916862,0.75
25,-2189.6923733670337,0.76
26,-2195.26817648251,0.7692307692307693
27,-2198.707197290726,0.7777777777777778
28,-2227.958748777778,0.7857142857142857
29,-2272.125874687714,0.7931034482758621
30,-2280.9193237913423,0.8
31,-2280.9193237913423,0.7741935483870968
32,-2315.09153537262,0.78125
33,-2315.09153537262,0.7575757575757576
34,-2315.09153537262,0.7352941176470589
35,-2321.4002894078326,0.7428571428571429
36,-2357.4358502488326,0.75
37,-2357.4358502488326,0.7297297297297297
38,-2357.4358502488326,0.7105263157894737
39,-2357.4358502488326,0.6923076923076923
40,-2377.3613113128768,0.7
41,-2361.0382159122187,0.7073170731707317
42,-2459.0201861651944,0.7142857142857143
43,-2301.1398085444457,0.7209302325581395
44,-2301.1398085444457,0.7045454545454546
45,-2301.1398085444457,0.6888888888888889
46,-2470.4250884999715,0.6956521739130435
47,-2470.4250884999715,0.6808510638297872
48,-2470.4250884999715,0.6666666666666666
49,-2470.4250884999715,0.6530612244897959
50,-2487.751395080647,0.66
51,-2487.751395080647,0.6470588235294118
52,-2500.4245334377883,0.6538461538461539
53,-2510.9783610869117,0.660377358490566
54,-2510.9783610869117,0.6481481481481481
55,-2505.9051287859247,0.6545454545454545
56,-2582.8949016333845,0.6607142857142857
57,-2582.8949016333845,0.6491228070175439
58,-2534.414982662988,0.6551724137931034
59,-2612.0462354210736,0.6610169491525424
60,-2421.454497331979,0.6666666666666666
61,-2710.7860954425523,0.6721311475409836
62,-2710.7860954425523,0.6612903225806451
63,-2547.371316104899,0.6666666666666666
64,-2667.383856896247,0.671875
65,-2583.953072689249,0.676923076923077
66,-2554.225133393039,0.6818181818181818
67,-2593.3424324157286,0.6865671641791045
68,-2585.943756366744,0.6911764705882353
69,-2556.310680114531,0.6956521739130435
70,-2575.796359764985,0.7
71,-2678.278059661131,0.704225352112676
72,-2706.6013215293115,0.7083333333333334
73,-2769.130293880271,0.7123287671232876
74,-2769.130293880271,0.7027027027027027
75,-2799.087710869602,0.7066666666666667
76,-2748.7922186892733,0.7105263157894737
77,-2748.7922186892733,0.7012987012987013
78,-2748.7922186892733,0.6923076923076923
79,-2718.9575227414184,0.6962025316455697
80,-2718.9575227414184,0.6875
81,-2623.1036906063446,0.691358024691358
82,-2623.1036906063446,0.6829268292682927
83,-2623.1036906063446,0.6746987951807228
84,-2623.1036906063446,0.6666666666666666
85,-2228.3391653499975,0.6705882352941176
86,-2228.3391653499975,0.6627906976744186
87,-2228.3391653499975,0.6551724137931034
88,-2837.5074717486405,0.6590909090909091
89,-2873.338192981346,0.6629213483146067
90,-2910.700540992342,0.6666666666666666
91,-2865.853646587368,0.6703296703296703
92,-2865.853646587368,0.6630434782608695
93,-2865.853646587368,0.6559139784946236
94,-2865.853646587368,0.648936170212766
95,-2865.853646587368,0.6421052631578947
96,-3078.5731728748,0.6458333333333334
97,-3078.5731728748,0.6391752577319587
98,-3078.5731728748,0.6326530612244898
99,-2959.8946758904694,0.6363636363636364
100,-2959.8946758904694,0.63
101,-2920.2407288489153,0.6336633663366337
102,-2920.2407288489153,0.6274509803921569
103,-2904.136220593609,0.6310679611650486
104,-3181.466236905368,0.6346153846153846
105,-3043.1535053695093,0.638095238095238
106,-2929.717289625383,0.6415094339622641
107,-2994.4515472086923,0.6448598130841121
108,-3065.5130996118423,0.6481481481481481
109,-3138.370192210043,0.6513761467889908
110,-3138.370192210043,0.6454545454545455
111,-3116.1268165153047,0.6486486486486487
112,-3068.172080345866,0.6517857142857143
113,-3068.172080345866,0.6460176991150443
114,-3131.057666850382,0.6491228070175439
115,-3131.057666850382,0.6434782608695652
116,-3131.057666850382,0.6379310344827587
117,-2967.1200018416494,0.6410256410256411
118,-3086.4236975546046,0.6440677966101694
119,-3137.429127514183,0.6470588235294118
120,-3075.983109409536,0.65
121,-3149.1598795749564,0.6528925619834711
122,-3149.1598795749564,0.6475409836065574
123,-3149.1598795749564,0.6422764227642277
124,-3149.1598795749564,0.6370967741935484
125,-3039.5225788996618,0.64
126,-3039.5225788996618,0.6349206349206349
127,-3039.5225788996618,0.6299212598425197
128,-3177.0477539104913,0.6328125
129,-3177.0477539104913,0.627906976744186
130,-3133.3726304420006,0.6307692307692307
131,-3133.3726304420006,0.6259541984732825
132,-3133.3726304420006,0.6212121212121212
133,-3207.2252346672662,0.6240601503759399
134,-3207.2252346672662,0.6194029850746269
135,-3207.2252346672662,0.6148148148148148
136,-3207.2252346672662,0.6102941176470589
137,-3207.2252346672662,0.6058394160583942
138,-2939.3536371351283,0.6086956521739131
139,-3327.057468404908,0.6115107913669064
140,-3356.122679692914,0.6142857142857143
141,-3149.775256728383,0.6170212765957447
142,-3149.775256728383,0.6126760563380281
143,-3909.6309730395724,0.6153846153846154
144,-3909.6309730395724,0.6111111111111112
145,-3043.7272036932673,0.6137931034482759
146,-3335.398914410691,0.6164383561643836
147,-3335.398914410691,0.6122448979591837
148,-3335.398914410691,0.6081081081081081
149,-3370.6963639203923,0.610738255033557
150,-3370.6963639203923,0.6066666666666667
151,-3511.5515547857494,0.609271523178808
152,-3513.9656525122386,0.6118421052631579
153,-3513.9656525122386,0.6078431372549019
154,-3496.4221559433304,0.6103896103896104
155,-3630.306389991008,0.6129032258064516
156,-3557.7950602178894,0.6153846153846154
157,-3826.6753255379954,0.6178343949044586
158,-3826.6753255379954,0.6139240506329114
159,-3648.6976867266603,0.6163522012578616
160,-3766.551687378691,0.61875
161,-3766.551687378691,0.6149068322981367
162,-3633.4756976848703,0.6172839506172839
163,-3510.720749524574,0.6196319018404908
164,-3510.720749524574,0.6158536585365854
165,-3510.720749524574,0.6121212121212121
166,-3510.720749524574,0.608433734939759
167,-3510.720749524574,0.6047904191616766
168,-3496.3571404276768,0.6071428571428571
169,-3496.3571404276768,0.6035502958579881
170,-3496.3571404276768,0.6
171,-3593.805711439537,0.6023391812865497
172,-3593.805711439537,0.5988372093023255
173,-3688.6718572739,0.6011560693641619
174,-3688.6718572739,0.5977011494252874
175,-3647.9402385146896,0.6
176,-3523.617181726622,0.6022727272727273
177,-3523.617181726622,0.5988700564971752
178,-3504.910442726405,0.601123595505618
179,-3504.910442726405,0.5977653631284916
180,-3471.3757252057894,0.6
