0.000000 0.000000 0.000000
0.000000 0.000000 3.579710
0.000000 0.000000 7.159420
0.000000 0.000000 10.739130
0.000000 3.579710 0.000000
0.000000 3.579710 3.579710
0.000000 3.579710 7.159420
0.000000 3.579710 10.739130
0.000000 7.159420 0.000000
0.000000 7.159420 3.579710
0.000000 7.159420 7.159420
0.000000 7.159420 10.739130
0.000000 10.739130 0.000000
0.000000 10.739130 3.579710
0.000000 10.739130 7.159420
0.000000 10.739130 10.739130
3.579710 0.000000 0.000000
3.579710 0.000000 3.579710
3.579710 0.000000 7.159420
3.579710 0.000000 10.739130
3.579710 3.579710 0.000000
3.579710 3.579710 3.579710
3.579710 3.579710 7.159420
3.579710 3.579710 10.739130
3.579710 7.159420 0.000000
3.579710 7.159420 3.579710
3.579710 7.159420 7.159420
3.579710 7.159420 10.739130
3.579710 10.739130 0.000000
3.579710 10.739130 3.579710
3.579710 10.739130 7.159420
3.579710 10.739130 10.739130
7.159420 0.000000 0.000000
7.159420 0.000000 3.579710
7.159420 0.000000 7.159420
7.159420 0.000000 10.739130
7.159420 3.579710 0.000000
7.159420 3.579710 3.579710
7.159420 3.579710 7.159420
7.159420 3.579710 10.739130
7.159420 7.159420 0.000000
7.159420 7.159420 3.579710
7.159420 7.159420 7.159420
7.159420 7.159420 10.739130
7.159420 10.739130 0.000000
7.159420 10.739130 3.579710
7.159420 10.739130 7.159420
7.159420 10.739130 10.739130
10.739130 0.000000 0.000000
10.739130 0.000000 3.579710
10.739130 0.000000 7.159420
10.739130 0.000000 10.739130
10.739130 3.579710 0.000000
10.739130 3.579710 3.579710
10.739130 3.579710 7.159420
10.739130 3.579710 10.739130
10.739130 7.159420 0.000000
10.739130 7.159420 3.579710
10.739130 7.159420 7.159420
10.739130 7.159420 10.739130
10.739130 10.739130 0.000000
10.739130 10.739130 3.579710
10.739130 10.739130 7.159420
10.739130 10.739130 10.739130
